
고춧가루,red pepper powder,"김치에 고춧가루를 넣었다.","I added red pepper powder to the kimchi.","Common Korean cooking ingredient"
거들다,help; assist,"그를 조금 거들었다.","I helped him a little.","Often implies small or supporting help"
곧다,straight; honest,"그는 성격이 곧다.","He has an honest personality.","Can describe both shape and character"
건너,opposite side,"길 건너에 학교가 있다.","There is a school across the street.","Often used with 에 or 편"
감독,supervision; director; coach,"그는 영화 감독이다.","He is a film director.","Meaning depends on context (sports, film, work)"
개인,individual; person,"이 문제는 개인의 선택이다.","This issue is an individual choice.","Often used in formal contexts"
고국,homeland; native country,"그는 고국을 떠났다.","He left his homeland.","Emotional or literary tone"
가뭄,drought,"가뭄이 계속되고 있다.","The drought is continuing.","Natural disaster term"
가사,lyrics,"이 노래 가사가 좋아.","The lyrics of this song are good.","Song-related term"
과소비,overconsumption,"과소비를 줄여야 한다.","We need to reduce overconsumption.","Often used in economic contexts"
곧이어,soon after,"비가 그쳤고 곧이어 해가 떴다.","The rain stopped and soon after the sun came out.","Written or narrative style"
건드리다,touch; offend; irritate,"그의 감정을 건드렸다.","I hurt his feelings.","Can be physical or emotional"
값싸다,cheap; inexpensive,"이 가방은 값싸다.","This bag is inexpensive.","Focuses on price, not quality"
각종,various; all kinds of,"각종 문제가 발생했다.","Various problems occurred.","Formal and written usage"
골,goal,"그 선수가 골을 넣었다.","That player scored a goal.","Sports-related term"
공공,public; public nature,"공공의 이익을 생각하다.","Think of the public good.","Used in formal or legal contexts"
가라앉다,sink; calm down,"파도가 가라앉았다.","The waves calmed down.","Used physically and emotionally"
가까이,near; close,"집이 학교 가까이에 있다.","My house is close to the school.","Can be adverb or noun"
개최,hosting; holding,"행사가 서울에서 개최된다.","The event will be held in Seoul.","Formal event-related term"
공공장소,public place,"공공장소에서는 조용히 하세요.","Please be quiet in public places.","Compound noun; rule-related contexts"
