거짓,lie; falsehood,"그의 말은 거짓이었다.","What he said was a lie.","Noun meaning something untrue; often used with 말 or 행동"
견학,field trip; tour,"학생들이 공장에 견학을 갔다.","The students went on a field trip to the factory.","Usually educational or observational"
경복궁,Gyeongbokgung Palace,"경복궁은 서울에 있다.","Gyeongbokgung Palace is in Seoul.","Famous historical palace in Korea"
걱정스럽다,worried; concerned,"부모님은 걱정스러운 표정이었다.","The parents looked worried.","Describes an emotional state"
객관적,objective,"객관적인 의견이 필요하다.","An objective opinion is needed.","Often used in academic or formal contexts"
감추다,hide; conceal,"그는 사실을 감추었다.","He hid the truth.","More intentional than 숨기다 in some contexts"
가지,branch; twig,"나무에 가지가 많다.","The tree has many branches.","Physical branch; also used metaphorically"
가능,possibility; potential,"성공의 가능성이 있다.","There is a possibility of success.","Often used with 있다/없다"
과로,overwork,"과로로 쓰러졌다.","He collapsed from overwork.","Common in health-related contexts"
간혹,sometimes; occasionally,"그는 간혹 늦는다.","He is occasionally late.","Less frequent than 자주"
가로막다,block; obstruct,"경비가 길을 가로막았다.","The guard blocked the road.","Implies active prevention"
가정,assumption; hypothesis,"이 가정은 틀렸다.","This assumption was wrong.","Used in logic, debate, and academics"
감시,surveillance; monitoring,"경찰의 감시를 받다.","To be under police surveillance.","Often related to security or authority"
거북이,turtle; tortoise,"거북이는 천천히 움직인다.","Turtles move slowly.","Animal name; used metaphorically for slowness"
개방,opening; openness,"박물관이 개방되었다.","The museum was opened.","Can be physical or abstract (policy, attitude)"
감옥,prison,"그는 감옥에 갔다.","He went to prison.","Physical place of confinement"
가만,still; quietly,"가만히 있어.","Stay still.","Very common in spoken Korean"
가톨릭,Catholic,"그는 가톨릭 신자다.","He is Catholic.","Religion-related term"
곱다,beautiful; fine,"색이 정말 곱다.","The color is very beautiful.","Often used for texture, color, or appearance"
간판,signboard; sign,"가게 간판이 크다.","The store sign is big.","Also used figuratively for reputation"
